"time_id","time_actual","hours_24","hours_12","hour_minutes","day_minutes","day_time_name","day_night"
0,00:00:00,"00","12","00",0,AM,Night
1,00:01:00,"00","12","01",1,AM,Night
2,00:02:00,"00","12","02",2,AM,Night
3,00:03:00,"00","12","03",3,AM,Night
4,00:04:00,"00","12","04",4,AM,Night
5,00:05:00,"00","12","05",5,AM,Night
6,00:06:00,"00","12","06",6,AM,Night
7,00:07:00,"00","12","07",7,AM,Night
8,00:08:00,"00","12","08",8,AM,Night
9,00:09:00,"00","12","09",9,AM,Night
10,00:10:00,"00","12","10",10,AM,Night
11,00:11:00,"00","12","11",11,AM,Night
12,00:12:00,"00","12","12",12,AM,Night
13,00:13:00,"00","12","13",13,AM,Night
14,00:14:00,"00","12","14",14,AM,Night
15,00:15:00,"00","12","15",15,AM,Night
16,00:16:00,"00","12","16",16,AM,Night
17,00:17:00,"00","12","17",17,AM,Night
18,00:18:00,"00","12","18",18,AM,Night
19,00:19:00,"00","12","19",19,AM,Night
20,00:20:00,"00","12","20",20,AM,Night
21,00:21:00,"00","12","21",21,AM,Night
22,00:22:00,"00","12","22",22,AM,Night
23,00:23:00,"00","12","23",23,AM,Night
24,00:24:00,"00","12","24",24,AM,Night
25,00:25:00,"00","12","25",25,AM,Night
26,00:26:00,"00","12","26",26,AM,Night
27,00:27:00,"00","12","27",27,AM,Night
28,00:28:00,"00","12","28",28,AM,Night
29,00:29:00,"00","12","29",29,AM,Night
30,00:30:00,"00","12","30",30,AM,Night
31,00:31:00,"00","12","31",31,AM,Night
32,00:32:00,"00","12","32",32,AM,Night
33,00:33:00,"00","12","33",33,AM,Night
34,00:34:00,"00","12","34",34,AM,Night
35,00:35:00,"00","12","35",35,AM,Night
36,00:36:00,"00","12","36",36,AM,Night
37,00:37:00,"00","12","37",37,AM,Night
38,00:38:00,"00","12","38",38,AM,Night
39,00:39:00,"00","12","39",39,AM,Night
40,00:40:00,"00","12","40",40,AM,Night
41,00:41:00,"00","12","41",41,AM,Night
42,00:42:00,"00","12","42",42,AM,Night
43,00:43:00,"00","12","43",43,AM,Night
44,00:44:00,"00","12","44",44,AM,Night
45,00:45:00,"00","12","45",45,AM,Night
46,00:46:00,"00","12","46",46,AM,Night
47,00:47:00,"00","12","47",47,AM,Night
48,00:48:00,"00","12","48",48,AM,Night
49,00:49:00,"00","12","49",49,AM,Night
50,00:50:00,"00","12","50",50,AM,Night
51,00:51:00,"00","12","51",51,AM,Night
52,00:52:00,"00","12","52",52,AM,Night
53,00:53:00,"00","12","53",53,AM,Night
54,00:54:00,"00","12","54",54,AM,Night
55,00:55:00,"00","12","55",55,AM,Night
56,00:56:00,"00","12","56",56,AM,Night
57,00:57:00,"00","12","57",57,AM,Night
58,00:58:00,"00","12","58",58,AM,Night
59,00:59:00,"00","12","59",59,AM,Night
100,01:00:00,"01","01","00",60,AM,Night
101,01:01:00,"01","01","01",61,AM,Night
102,01:02:00,"01","01","02",62,AM,Night
103,01:03:00,"01","01","03",63,AM,Night
104,01:04:00,"01","01","04",64,AM,Night
105,01:05:00,"01","01","05",65,AM,Night
106,01:06:00,"01","01","06",66,AM,Night
107,01:07:00,"01","01","07",67,AM,Night
108,01:08:00,"01","01","08",68,AM,Night
109,01:09:00,"01","01","09",69,AM,Night
110,01:10:00,"01","01","10",70,AM,Night
111,01:11:00,"01","01","11",71,AM,Night
112,01:12:00,"01","01","12",72,AM,Night
113,01:13:00,"01","01","13",73,AM,Night
114,01:14:00,"01","01","14",74,AM,Night
115,01:15:00,"01","01","15",75,AM,Night
116,01:16:00,"01","01","16",76,AM,Night
117,01:17:00,"01","01","17",77,AM,Night
118,01:18:00,"01","01","18",78,AM,Night
119,01:19:00,"01","01","19",79,AM,Night
120,01:20:00,"01","01","20",80,AM,Night
121,01:21:00,"01","01","21",81,AM,Night
122,01:22:00,"01","01","22",82,AM,Night
123,01:23:00,"01","01","23",83,AM,Night
124,01:24:00,"01","01","24",84,AM,Night
125,01:25:00,"01","01","25",85,AM,Night
126,01:26:00,"01","01","26",86,AM,Night
127,01:27:00,"01","01","27",87,AM,Night
128,01:28:00,"01","01","28",88,AM,Night
129,01:29:00,"01","01","29",89,AM,Night
130,01:30:00,"01","01","30",90,AM,Night
131,01:31:00,"01","01","31",91,AM,Night
132,01:32:00,"01","01","32",92,AM,Night
133,01:33:00,"01","01","33",93,AM,Night
134,01:34:00,"01","01","34",94,AM,Night
135,01:35:00,"01","01","35",95,AM,Night
136,01:36:00,"01","01","36",96,AM,Night
137,01:37:00,"01","01","37",97,AM,Night
138,01:38:00,"01","01","38",98,AM,Night
139,01:39:00,"01","01","39",99,AM,Night
140,01:40:00,"01","01","40",100,AM,Night
141,01:41:00,"01","01","41",101,AM,Night
142,01:42:00,"01","01","42",102,AM,Night
143,01:43:00,"01","01","43",103,AM,Night
144,01:44:00,"01","01","44",104,AM,Night
145,01:45:00,"01","01","45",105,AM,Night
146,01:46:00,"01","01","46",106,AM,Night
147,01:47:00,"01","01","47",107,AM,Night
148,01:48:00,"01","01","48",108,AM,Night
149,01:49:00,"01","01","49",109,AM,Night
150,01:50:00,"01","01","50",110,AM,Night
151,01:51:00,"01","01","51",111,AM,Night
152,01:52:00,"01","01","52",112,AM,Night
153,01:53:00,"01","01","53",113,AM,Night
154,01:54:00,"01","01","54",114,AM,Night
155,01:55:00,"01","01","55",115,AM,Night
